,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
264,kununurra,20,AU,1546734600,55,-15.77,128.74,87.8,3.36
265,kruisfontein,20,ZA,1546736032,86,-34.0,24.73,65.37,8.63
266,kodiak,1,US,1546733700,45,39.95,-94.76,49.64,5.95
267,namibe,80,AO,1546736048,100,-15.19,12.15,74.82,3.38
268,cairns,20,AU,1546734600,58,-16.92,145.77,87.8,11.41
269,caravelas,0,BR,1546736049,98,-17.73,-39.27,80.9,18.48
270,nome,1,US,1546733700,71,30.04,-94.42,56.84,5.82
271,coquimbo,0,CL,1546732800,72,-29.95,-71.34,64.4,6.93
272,yulara,0,AU,1546732800,20,-25.24,130.99,82.4,18.34
273,arman,12,RU,1546736050,59,59.7,150.17,-13.47,12.66
274,kieta,92,PG,1546736050,91,-6.22,155.63,84.14,7.63
275,venice,90,US,1546734900,72,27.1,-82.45,64.4,14.99
276,birao,8,CF,1546736051,44,10.3,22.78,70.5,8.19
277,upernavik,0,GL,1546736051,97,72.79,-56.15,4.53,9.42
278,swan river,44,CA,1546736028,81,52.11,-101.27,12.59,3.15
279,sawakin,64,SD,1546736052,99,19.1,37.33,71.67,3.38
280,san patricio,20,PY,1546736052,90,-26.98,-56.83,75.72,4.38
281,pa sang,40,TH,1546734600,88,18.53,98.94,69.8,2.24
282,magadan,8,RU,1546736053,100,59.56,150.8,-6.18,14.45
283,san vicente,20,SV,1546732200,74,13.64,-88.78,80.6,3.36
284,lata,92,IN,1546736055,100,30.78,78.62,30.63,1.48
285,eydhafushi,24,MV,1546736055,100,5.1,73.07,80.49,11.21
286,kearney,1,US,1546734900,85,40.7,-99.08,40.64,9.17
287,tessalit,44,ML,1546736056,25,20.2,1.01,52.82,8.41
288,fare,44,PF,1546736056,92,-16.7,-151.02,86.07,13.0
289,bemidji,1,US,1546734900,89,47.48,-94.89,25.7,8.05
290,delmas,75,HT,1546732800,69,18.55,-72.29,80.6,10.29
291,serenje,64,ZM,1546736057,96,-13.23,30.22,66.14,2.93
292,cukai,75,MY,1546732800,100,4.25,103.42,77.0,2.24
293,bonavista,80,CA,1546736049,98,48.65,-53.11,28.7,5.73
294,vila do maio,20,CV,1546732800,77,15.13,-23.22,69.8,12.75
295,hofn,0,IS,1546736058,100,64.25,-15.21,39.45,20.6
296,mwingi,44,KE,1546736059,97,-0.93,38.07,63.03,3.38
297,khandyga,8,RU,1546736059,0,62.65,135.58,-43.26,2.59
298,robertsport,44,LR,1546736059,100,6.75,-11.37,83.64,6.85
299,ust-nera,44,RU,1546736059,0,64.57,143.24,-49.65,1.7
300,nyaunglebin,0,MM,1546736060,81,17.95,96.73,68.52,4.38
301,vengerovo,76,RU,1546736060,83,55.68,76.74,13.44,10.98
302,margate,40,AU,1546734600,40,-43.03,147.26,68.0,18.34
303,jiangyou,80,CN,1546736060,90,31.78,104.73,34.5,3.71
304,gat,20,SN,1546734600,28,14.69,-16.54,73.4,12.75
305,katherine,8,AU,1546734600,62,-14.47,132.26,86.0,3.36
306,sao joaquim,92,BR,1546735952,95,-28.29,-49.93,64.07,3.15
307,saskylakh,8,RU,1546736061,55,71.97,114.09,-32.06,3.15
308,hambantota,0,LK,1546733400,100,6.12,81.12,71.6,9.17
309,paka,0,HR,1546734600,92,45.29,18.06,30.2,14.99
310,saint george,0,GR,1546736062,63,39.45,22.34,11.15,2.48
311,villa del rosario,40,CO,1546732800,54,7.83,-72.47,84.2,10.29
312,oktyabrskoye,40,RU,1546734600,84,56.73,85.44,3.2,6.71
313,waingapu,36,ID,1546736063,96,-9.65,120.26,78.15,3.83
314,broken hill,0,AU,1546732800,33,-31.97,141.45,71.6,16.11
315,port shepstone,0,ZA,1546736031,91,-30.74,30.45,70.64,17.69
316,tefe,68,BR,1546736064,93,-3.35,-64.71,75.54,4.94
317,ilhabela,92,BR,1546735827,100,-23.78,-45.36,76.08,6.62
318,port lincoln,0,AU,1546736065,83,-34.72,135.86,66.63,5.06
319,mehamn,92,NO,1546736065,97,71.03,27.85,36.75,5.73
320,hirara,75,JP,1546732800,100,24.8,125.28,69.8,9.17
321,lubyany,75,RU,1546734600,85,56.04,51.4,19.4,6.71
322,nara,75,JP,1546732800,80,34.68,135.8,44.6,3.36
323,adrar,0,DZ,1546732800,48,27.87,-0.29,42.8,10.29
324,castro,44,CL,1546732800,76,-42.48,-73.76,55.4,4.7
325,torbay,90,CA,1546732800,99,47.66,-52.73,32.0,11.41
326,katol,0,IN,1546734600,82,21.28,78.59,59.0,3.36
327,egvekinot,0,RU,1546736071,0,66.32,-179.17,-39.62,2.37
328,alyangula,40,AU,1546732800,62,-13.85,136.42,89.6,5.82
329,gizo,40,IL,1546734000,62,31.8,34.94,53.6,13.87
330,bethal,36,ZA,1546736072,96,-26.46,29.47,57.27,9.75
331,casper,1,US,1546732380,48,42.87,-106.31,39.02,14.99
332,lagoa,0,PT,1546732800,75,37.14,-8.45,44.6,4.7
333,jhargram,0,IN,1546736073,79,22.45,86.99,47.82,3.15
334,prince rupert,90,CA,1546732800,93,54.32,-130.32,37.4,2.24
335,vestmannaeyjar,88,IS,1546736074,97,63.44,-20.27,40.71,23.06
336,roebourne,0,AU,1546736075,71,-20.77,117.15,84.14,5.73
337,otane,0,NZ,1546736075,41,-39.89,176.62,80.72,11.77
338,manosque,0,FR,1546734600,73,43.83,5.78,42.8,24.16
339,bandarbeyla,92,SO,1546736076,100,9.49,50.81,74.82,16.69
340,dunedin,92,NZ,1546735903,100,-45.87,170.5,54.8,3.15
341,formosa,90,AR,1546732800,88,-26.19,-58.17,78.8,5.82
342,kijang,0,KR,1546732800,29,35.24,129.21,33.8,8.05
343,sinnamary,92,GF,1546736077,100,5.38,-52.96,76.8,10.42
344,wukari,0,NG,1546736078,37,7.87,9.78,73.07,7.85
345,aksarka,8,RU,1546736078,69,66.56,67.8,-5.01,16.91
346,rudnogorsk,56,RU,1546736078,66,57.27,103.75,-15.18,6.29
347,murmashi,75,RU,1546734600,79,68.82,32.82,24.8,4.47
348,tripoli,0,GR,1546736079,53,37.51,22.37,2.24,1.59
349,santa cruz de la palma,24,ES,1546734600,29,28.68,-17.76,62.6,6.93
350,hithadhoo,80,MV,1546736080,100,-0.6,73.08,80.22,5.61
351,hami,76,CN,1546735906,62,42.84,93.51,3.18,6.62
352,yarada,0,IN,1546734600,93,17.65,83.27,59.0,4.7
353,shambu,0,ET,1546736080,66,9.57,37.1,38.82,2.48
354,pisco,0,PE,1546732800,83,-13.71,-76.2,71.6,14.99
355,timmins,90,CA,1546734480,92,48.48,-81.33,26.6,6.93
356,port-gentil,80,GA,1546736081,100,-0.72,8.78,78.29,5.28
357,burg,88,DE,1546735869,100,52.27,11.86,36.84,6.85
358,bahir dar,0,ET,1546736083,32,11.59,37.39,40.04,2.82
359,bom jesus,44,BR,1546736083,65,-9.08,-44.36,77.57,4.72
360,port blair,92,IN,1546736084,100,11.67,92.75,78.47,28.1
361,coari,76,BR,1546736084,92,-4.09,-63.14,78.33,4.94
362,sterling,1,US,1546734900,70,39.0,-77.4,53.06,9.17
363,palanga,64,RO,1546736084,83,44.45,25.08,21.14,7.4
364,barcelos,0,PT,1546732800,80,41.53,-8.62,39.2,3.36
365,brandon,1,US,1546733700,85,43.59,-96.57,33.98,6.62
366,bago,75,MM,1546734600,73,17.34,96.48,77.0,3.36
367,le port,0,FR,1546736086,50,42.87,1.37,22.49,2.71
368,lompoc,90,US,1546735320,93,34.64,-120.46,53.06,11.41
369,adre,8,TD,1546736086,40,13.47,22.2,66.99,8.97
370,kabinda,88,CD,1546736087,97,-6.14,24.49,69.78,5.73
371,shakawe,8,BW,1546736087,90,-18.36,21.84,69.24,2.15
372,christchurch,20,NZ,1546732800,77,-43.53,172.64,68.0,13.87
373,kabalo,64,CD,1546736088,99,-6.05,26.92,70.19,5.95
374,glendive,1,US,1546734900,92,47.11,-104.71,28.4,6.93
375,yeppoon,75,AU,1546734600,61,-23.13,150.74,82.4,11.41
376,cidreira,88,BR,1546736049,77,-30.17,-50.22,73.56,18.14
377,abu dhabi,0,AE,1546732800,82,24.47,54.37,66.2,5.17
378,liverpool,90,GB,1546734000,87,53.41,-2.98,42.8,3.36
379,potosi,36,BO,1546736089,86,-19.59,-65.75,43.59,0.58
380,oliveira dos brejinhos,24,BR,1546736089,92,-12.32,-42.89,68.43,3.27
381,ubinskoye,92,RU,1546736090,85,55.31,79.68,11.28,11.43
382,saldanha,0,PT,1546736090,74,41.42,-6.55,20.6,2.71
383,leningradskiy,12,RU,1546735798,93,69.38,178.42,-11.04,1.36
384,abidjan,44,CI,1546732800,88,5.32,-4.02,73.4,2.24
385,khash,0,IR,1546736091,68,28.22,61.21,22.26,2.71
386,canyon,1,US,1546734900,35,34.98,-101.92,57.02,6.93
387,verkh-usugli,0,RU,1546736092,54,52.7,115.17,-33.54,3.15
388,yarke pole,80,UA,1546736092,89,45.61,34.32,19.74,8.97
389,santa helena de goias,48,BR,1546735853,96,-17.81,-50.6,71.94,3.94
390,padang,92,ID,1546736093,100,-0.92,100.36,76.89,6.17
391,coolum beach,88,AU,1546736061,86,-26.53,153.09,77.43,6.96
392,stawell,0,AU,1546736094,54,-37.06,142.77,66.0,6.17
393,arkhangelsk,90,RU,1546734600,84,64.54,40.54,6.8,2.71
394,xuddur,68,SO,1546736094,63,4.12,43.89,70.86,11.77
395,tateyama,75,JP,1546732800,80,36.66,137.31,35.6,3.36
396,saint-augustin,0,FR,1546734600,92,44.83,-0.61,30.2,2.24
397,vredendal,0,ZA,1546736095,86,-31.68,18.49,57.45,0.69
398,jacareacanga,12,BR,1546736095,93,-6.22,-57.76,76.49,1.59
399,luebo,56,CD,1546736096,98,-5.35,21.42,68.88,1.92
400,sun prairie,1,US,1546736100,74,43.18,-89.21,42.8,9.08
401,salina,1,US,1546734900,70,36.29,-95.15,55.94,3.36
402,mandalgovi,0,MN,1546736097,55,45.76,106.27,-14.19,5.61
403,okha,76,RU,1546736097,88,53.59,142.95,8.45,24.96
404,boende,64,CD,1546736098,99,-0.28,20.88,70.64,2.37
405,mastung,0,PK,1546736098,71,29.8,66.85,21.77,1.36
406,komsomolskiy,44,RU,1546736098,72,67.55,63.78,0.57,18.25
407,yuli,0,NG,1546736099,43,10.52,9.86,60.24,8.3
408,road town,40,VG,1546732800,69,18.42,-64.62,78.98,11.41
409,nobeoka,48,JP,1546736099,67,32.66,131.66,38.91,3.6
410,acurenam,32,GA,1546736099,97,1.03,10.67,69.33,4.16
411,vangaindrano,100,MG,1546736100,100,-23.35,47.6,71.67,2.71
412,batticaloa,92,LK,1546736100,100,7.71,81.69,76.44,8.63
413,jardim,36,BR,1546736100,70,-21.48,-56.15,83.24,7.74
414,lakes entrance,24,AU,1546735854,91,-37.88,147.99,65.28,8.41
415,pangai,90,TO,1546732800,94,-19.8,-174.35,77.0,16.11
416,oranjemund,20,ZA,1546736102,93,-28.55,16.43,62.54,21.5
417,goba,0,ET,1546736102,56,7.01,39.97,38.19,3.38
418,soyo,56,AO,1546736102,96,-6.13,12.37,76.08,3.38
419,vila velha,40,BR,1546732800,78,-3.71,-38.6,82.4,13.87
420,porosozero,64,RU,1546736103,83,62.72,32.71,5.34,2.59
421,dogondoutchi,0,NE,1546736103,43,13.64,4.03,60.47,10.31
422,port macquarie,12,AU,1546733280,69,-31.43,152.91,77.0,19.46
423,uporovo,76,RU,1546736104,85,56.31,66.27,9.21,15.68
424,texarkana,1,US,1546732380,63,33.44,-94.04,55.04,3.36
425,zeya,0,RU,1546736104,51,53.74,127.27,-18.42,2.26
426,nuevitas,75,CU,1546732200,94,21.55,-77.27,73.4,4.7
427,gallup,1,US,1546732380,59,35.53,-108.74,42.08,3.36
428,isabela,48,PH,1546736105,100,10.2,122.99,74.15,3.6
429,camalu,92,MX,1546736105,74,30.85,-116.07,52.77,3.27
430,praya,20,ID,1546734600,79,-8.71,116.27,84.2,3.36
431,nampula,75,MZ,1546732800,100,-15.12,39.26,73.4,3.15
432,inirida,36,CO,1546736106,92,3.87,-67.92,76.53,2.15
433,haukipudas,76,FI,1546734000,100,65.17,25.5,21.2,4.7
434,ahipara,0,NZ,1546736107,65,-35.17,173.16,74.46,7.96
435,jinchang,12,CN,1546736108,68,38.52,102.19,2.82,2.59
436,aleksandrovka,20,RU,1546736108,100,46.65,38.4,23.07,11.21
437,tabas,8,IR,1546732800,44,33.6,56.92,39.2,4.7
438,sosva,56,RU,1546736109,88,59.17,61.86,17.58,5.61
439,mount darwin,80,ZW,1546736109,97,-16.77,31.58,68.16,2.93
440,changji,48,CN,1546736109,94,32.07,116.17,26.09,3.15
441,armidale,0,AU,1546736109,72,-30.51,151.67,77.16,3.94
442,oriximina,80,BR,1546736110,96,-1.77,-55.87,76.4,3.71
443,kuliyapitiya,0,LK,1546733400,88,7.47,80.04,71.6,9.17
444,bilibino,32,RU,1546736110,0,68.06,166.44,-39.93,2.37
445,poum,32,MK,1546736111,77,41.28,20.71,4.67,1.92
446,hay river,90,CA,1546734780,84,60.82,-115.79,6.8,9.17
447,westport,92,IE,1546736112,98,53.8,-9.52,50.12,7.4
448,wanning,75,AT,1546734000,99,48.64,13.53,35.6,14.99
449,kholtoson,20,RU,1546736112,53,50.3,103.31,-34.08,2.48
450,biltine,0,TD,1546736112,39,14.53,20.93,62.9,7.74
451,atambua,8,ID,1546736112,98,-9.11,124.89,81.75,2.71
452,goderich,0,CA,1546736113,85,43.74,-81.71,36.89,13.44
453,shache,36,CN,1546736113,76,38.42,77.24,8.72,3.71
454,oruro,68,BO,1546736113,90,-17.97,-67.11,51.51,2.37
455,guiglo,8,CI,1546736114,59,6.55,-7.5,69.29,4.05
456,nanortalik,88,GL,1546736114,94,60.14,-45.24,31.04,14.67
457,dukat,88,RS,1546736115,84,42.44,22.31,16.1,2.15
458,san-pedro,36,CI,1546736115,93,4.75,-6.64,77.34,6.62
459,mattru,48,SL,1546736116,82,7.62,-11.83,76.22,2.59
460,tromso,75,NO,1546734000,86,69.65,18.96,39.2,17.22
461,chapais,90,CA,1546735200,92,49.78,-74.86,17.6,2.24
462,palmer,20,AU,1546734600,52,-34.85,139.16,68.0,14.99
463,barraute,90,CA,1546734540,100,48.43,-77.63,28.4,5.82
464,santiago del estero,80,AR,1546736118,82,-27.8,-64.26,79.14,7.07
465,puerto penasco,92,MX,1546735961,100,31.32,-113.53,59.12,1.92
466,lere,12,TD,1546736118,61,9.66,14.23,63.84,3.6
467,fountain,1,US,1546734900,32,38.68,-104.7,50.18,3.36
468,male,92,UA,1546736119,92,50.74,33.7,22.85,10.76
469,omboue,64,GA,1546736120,100,-1.57,9.26,78.29,5.95
470,kattivakkam,20,IN,1546734600,88,13.22,80.32,69.8,9.53
471,antofagasta,20,CL,1546732800,73,-23.65,-70.4,69.8,6.93
472,yavaros,88,MX,1546735980,55,26.7,-109.52,69.96,7.52
473,tual,64,ID,1546736121,100,-5.67,132.75,81.35,14.79
474,miri,0,NG,1546736121,53,10.31,9.75,57.27,6.4
475,mabaruma,76,GY,1546736122,83,8.2,-59.78,78.02,7.4
476,mitu,68,IR,1546736122,89,36.2,46.09,30.54,3.38
477,amga,44,RU,1546736122,64,60.89,131.98,-14.42,2.71
478,yaring,75,TH,1546732800,74,6.87,101.37,80.6,6.93
479,zerbst,75,DE,1546734000,93,51.96,12.09,39.2,13.87
480,vardo,1,US,1546734900,70,39.62,-77.74,51.8,9.17
481,cortes,100,PH,1546736124,97,9.28,126.19,75.0,5.95
482,la rioja,80,AR,1546735934,52,-29.41,-66.86,87.06,6.17
483,port hardy,90,CA,1546732800,93,50.7,-127.42,39.2,5.82
484,brokopondo,0,SR,1546732800,94,5.06,-54.98,75.2,4.7
485,marshall,1,US,1546734900,94,39.39,-87.69,48.92,5.82
486,zabaykalsk,0,CN,1546736126,34,49.64,117.33,-24.59,3.04
487,halifax,90,CA,1546732800,100,44.65,-63.58,35.6,5.82
488,sarakhs,0,TM,1546732800,82,36.54,61.16,33.8,2.24
489,normandin,90,CA,1546732800,92,48.84,-72.53,28.4,5.82
490,kozlovo,88,RU,1546736127,91,56.51,36.26,19.07,6.62
491,samagaltay,44,RU,1546736127,49,50.6,95.0,-32.06,2.82
492,bayanday,24,RU,1546736128,36,53.07,105.52,-25.53,2.59
493,broome,48,GB,1546734000,86,52.47,1.45,41.36,3.36
494,seoul,20,KR,1546734600,53,37.57,126.98,24.8,2.59
495,soyalo,75,MX,1546731960,69,16.9,-92.92,75.2,14.99
496,tezu,64,IN,1546736129,50,27.93,96.16,48.05,2.04
497,henties bay,0,NA,1546736130,100,-22.12,14.28,62.9,4.5
498,soe,68,EE,1546732200,77,57.91,26.05,6.8,1.12
499,shellbrook,90,CA,1546735260,85,53.22,-106.39,10.4,5.82
500,binga,48,ZW,1546736131,97,-17.62,27.34,75.18,2.48
501,bukan,20,IR,1546736131,89,36.52,46.21,28.02,7.07
502,banamba,36,ML,1546736131,28,13.55,-7.45,64.02,10.65
503,mumford,24,GH,1546736131,90,5.26,-0.76,78.74,8.86
504,lubango,68,AO,1546736132,96,-14.92,13.49,62.45,1.25
505,general teran,0,MX,1546736132,53,25.27,-99.68,70.32,7.18
506,makakilo city,40,US,1546732620,48,21.35,-158.09,80.96,5.82
507,lodja,92,CD,1546736133,97,-3.52,23.6,69.65,2.15
508,ixtapa,75,MX,1546732260,74,20.71,-105.21,80.6,6.93
509,simao,20,CN,1546736133,89,22.76,100.79,46.83,0.58
510,trelew,0,AR,1546736133,25,-43.25,-65.31,79.5,10.76
511,aras,0,YE,1546736134,64,14.28,44.38,31.22,3.04
512,shimoda,75,JP,1546732800,52,34.7,138.93,44.6,20.8
513,santa ana,0,SV,1546732200,39,13.99,-89.56,84.2,5.82
514,vilyuysk,36,RU,1546736135,73,63.75,121.63,-6.41,5.17
515,tiznit,48,MA,1546736135,81,29.7,-9.73,51.02,3.6
516,maningrida,0,AU,1546736038,98,-12.05,134.23,83.69,5.17
517,puerto varas,20,CL,1546732800,71,-41.32,-72.98,55.4,9.17
518,jieshi,80,CN,1546736136,100,22.82,115.83,59.34,7.63
519,san ignacio,0,CL,1546732800,60,-36.8,-72.03,69.8,8.05
520,lamu,12,ID,1546736137,93,0.57,122.3,76.94,2.71
521,hokitika,92,NZ,1546736137,97,-42.72,170.96,64.74,13.44
522,laguna,90,MX,1546731600,40,27.52,-110.01,71.6,5.82
523,baiyin,80,CN,1546732800,77,36.55,104.13,6.8,6.71
524,badvel,0,IN,1546736138,87,14.74,79.07,53.4,0.81
525,samarkand,0,UZ,1546732800,68,39.65,66.98,33.8,11.41
526,ciudad bolivar,0,VE,1546736139,54,8.12,-63.55,82.79,10.98
527,yima,76,CN,1546736139,70,34.75,111.87,18.75,2.71
528,altagracia de orituco,0,VE,1546736139,51,9.86,-66.38,80.76,10.76
529,porto novo,40,BR,1546732800,94,-23.68,-45.44,73.4,3.36
530,kuloy,80,RU,1546736140,88,61.03,42.49,13.4,7.63
531,yar-sale,0,RU,1546736044,92,66.83,70.83,1.34,22.06
